	id	title	original_air_date	production_code	season	number_in_season	number_in_series	us_viewers_in_millions	views	imdb_rating	imdb_votes	image_url	video_url
311	202	Lost Our Lisa	1998-05-10	5F17	9	24	202	7.6	55316.0	7.7	880.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/494/675/Simpsons_09_22__246040.jpg	http://www.simpsonsworld.com/video/467595331852
312	199	Girly Edition	1998-04-19	5F15	9	21	199	8.5	21811.0	7.9	905.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/94/631/Simpsons_09_20.jpg	http://www.simpsonsworld.com/video/299672131928
313	187	Realty Bites	1997-12-07	5F06	9	9	187	10.6	25183.0	7.5	888.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/151/630/Simpsons_09_11.jpg	http://www.simpsonsworld.com/video/280404547525
314	174	The Old Man and the Lisa	1997-04-20	4F17	8	21	174	14.0	56833.0	7.9	967.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/425/35/Simpsons_08_21.jpg	http://www.simpsonsworld.com/video/436383811985
315	159	A Milhouse Divided	1996-12-01	4F04	8	6	159	12.8	60956.0	8.0	1008.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/1024/983/Simpsons_08_08.jpg	http://www.simpsonsworld.com/video/277025347786
316	170	My Sister, My Sitter	1997-03-02	4F13	8	17	170	15.1	54247.0	8.1	1020.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/346/931/Simpsons_08_17.jpg	http://www.simpsonsworld.com/video/436301891875
317	193	The Last Temptation of Krust	1998-02-22	5F10	9	15	193	9.5	20298.0	7.5	878.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/580/347/Simpsons_09_15.jpg	http://www.simpsonsworld.com/video/294812739638
318	183	The Cartridge Family	1997-11-02	5F01	9	5	183	10.3	30921.0	8.2	1081.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/18/227/Simpsons_09_06.jpg	http://www.simpsonsworld.com/video/302813251779
319	172	Grade School Confidential	1997-04-06	4F09	8	19	172	13.3	60584.0	8.2	995.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/452/887/Simpsons_08_13.jpg	http://www.simpsonsworld.com/video/436412995642
321	197	Simpson Tide	1998-03-29	3G04	9	19	197	9.0	23127.0	8.3	1026.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/14/823/Simpsons_09_02.jpg	http://www.simpsonsworld.com/video/302809667837
322	177	The Simpsons Spin-Off Showcase	1997-05-11	4F20	8	24	177	11.6	57926.0	7.3	1006.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/517/827/Simpsons_08_24__923857.jpg	http://www.simpsonsworld.com/video/436481091875
323	179	The City of New York vs. Homer Simpson	1997-09-21	4F22	9	1	179	10.5	62962.0	9.1	1918.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/551/1011/Simpsons_09_03.jpg	http://www.simpsonsworld.com/video/436516931611
324	188	Miracle on Evergreen Terrace	1997-12-21	5F07	9	10	188	9.6	19899.0	7.6	958.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/825/631/Simpsons_09_12__814973.jpg	http://www.simpsonsworld.com/video/306881091696
325	201	King of the Hill	1998-05-03	5F16	9	23	201	9.2	60952.0	8.3	962.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/493/199/Simpsons_09_21.jpg	http://www.simpsonsworld.com/video/467593795648
326	192	Das Bus	1998-02-15	5F11	9	14	192	9.6	32487.0	8.1	1036.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/579/503/Simpsons_09_16.jpg	http://www.simpsonsworld.com/video/448356931860
