"lon","lat","city","city_state"
-120.2354422,39.197607,"SQUAW VALLEY","SQUAW VALLEY, CA"
-120.5718363,34.971644,"GUADALUPE","GUADALUPE, CA"
-120.4829677,37.3021632,"MERCED","MERCED, CA"
-118.3841777,34.1633045,"VALLEY VLG","VALLEY VLG, CA"
-117.7262981,33.5684605,"ALISO VIEJO","ALISO VIEJO, CA"
-122.5888686,37.9871454,"FAIRFAX","FAIRFAX, CA"
-121.9166215,36.6177374,"PACIFIC GROVE","PACIFIC GROVE, CA"
-119.1951074,34.1477829,"PORT HUENEME","PORT HUENEME, CA"
-121.9877444,38.3565773,"VACAVILLE","VACAVILLE, CA"
-118.6058609,34.208254,"CANOGA PARK","CANOGA PARK, CA"
-122.0399663,38.2493581,"FAIRFIELD","FAIRFIELD, CA"
-118.4109089,33.8847361,"MANHATTAN BEACH","MANHATTAN BEACH, CA"
-121.2930079,38.891565,"LINCOLN","LINCOLN, CA"
-122.6664251,38.29975,"PENNGROVE","PENNGROVE, CA"
-122.1341321,38.0193657,"MARTINEZ","MARTINEZ, CA"
-117.6411717,33.550735,"LADERA RANCH","LADERA RANCH, CA"
-117.1661449,33.1433723,"SAN MARCOS","SAN MARCOS, CA"
-121.8995741,37.4323341,"MILPITAS","MILPITAS, CA"
-122.1585777,38.049365,"BENICIA","BENICIA, CA"
-121.129656,37.4716001,"PATTERSON","PATTERSON, CA"
-119.5184564,34.3988838,"CARPINTERIA","CARPINTERIA, CA"
-121.5379974,36.8455108,"SAN JUAN BAUTISTA","SAN JUAN BAUTISTA, CA"
-118.5010942,34.2010832,"LAKE BALBOA","LAKE BALBOA, CA"
-122.6863733,37.9093702,"BOLINAS","BOLINAS, CA"
-123.7994591,39.3076744,"MENDOCINO","MENDOCINO, CA"
-117.6986604,33.5916433,"LAGUNA HILLS","LAGUNA HILLS, CA"
-123.8233635,40.1201443,"REDWAY","REDWAY, CA"
-117.7499909,34.055103,"POMONA","POMONA, CA"
-124.2025913,41.7557501,"CRESCENT CITY","CRESCENT CITY, CA"
-120.6591314,38.4133517,"PINE GROVE","PINE GROVE, CA"
-122.2758008,37.5202145,"BELMONT","BELMONT, CA"
-121.8994016,36.9771729,"APTOS","APTOS, CA"
-122.5797054,38.5787965,"CALISTOGA","CALISTOGA, CA"
-121.302728,38.5890723,"RANCHO CORDOVA","RANCHO CORDOVA, CA"
-122.2852473,37.831316,"EMERYVILLE","EMERYVILLE, CA"
-118.4571974,34.3058279,"SYLMAR","SYLMAR, CA"
-122.3916754,40.5865396,"REDDING","REDDING, CA"
-118.2200712,33.8958492,"COMPTON","COMPTON, CA"
-117.7678355,34.1008426,"LA VERNE","LA VERNE, CA"
-117.9053395,33.9761238,"ROWLAND HEIGHTS","ROWLAND HEIGHTS, CA"
-118.3812562,34.2279298,"SUN VALLEY","SUN VALLEY, CA"
-121.1760583,38.6779591,"FOLSOM","FOLSOM, CA"
-121.8646774,36.9366186,"LA SELVA BEACH","LA SELVA BEACH, CA"
-122.2808356,40.3857087,"COTTONWOOD","COTTONWOOD, CA"
-117.0230839,32.7678287,"LA MESA","LA MESA, CA"
-122.1658805,37.8306731,"CANYON","CANYON, CA"
-118.5214282,34.1517492,"ENCINO","ENCINO, CA"
-120.9354895,37.7360396,"RIVERBANK","RIVERBANK, CA"
-117.3136547,34.0739016,"COLTON","COLTON, CA"
-118.5400404,34.373361,"NEWHALL","NEWHALL, CA"
-123.6255723,39.653491,"BRANSCOMB","BRANSCOMB, CA"
-120.9327177,38.3526912,"IONE","IONE, CA"
-122.0863528,37.0891143,"BEN LOMOND","BEN LOMOND, CA"
-117.8531007,33.7879139,"ORANGE","ORANGE, CA"
-122.4566392,37.8735377,"TIBURON","TIBURON, CA"
-123.7172951,39.1304105,"ELK","ELK, CA"
-123.6930726,38.908798,"POINT ARENA","POINT ARENA, CA"
-119.1770516,34.1975048,"OXNARD","OXNARD, CA"
-123.5340084,38.7722996,"GUALALA","GUALALA, CA"
